estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
64,0,mpi,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,6.0134360000000004,0.14648080000000002,0.023824400000000003
64,0,mpi,2,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.140454,10.554820000000001,0.026547599999999998
64,0,mpi,2,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.6969020000000001,11.175540000000002,0.040161999999999996
64,0,mpi,2,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,0.9121705999999999,11.960139999999999,0.0229672
64,0,mpi,4,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.80753,0.151364,0.0359782
64,0,mpi,4,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.9571739999999997,10.365752,0.044513399999999995
64,0,mpi,4,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.504908,11.0758,0.056877
64,0,mpi,4,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,0.7992234,11.73832,0.0419574
64,0,mpi,8,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.6591479999999996,0.11541799999999999,0.0429744
64,0,mpi,8,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.06799,10.63754,0.0517386
64,0,mpi,8,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.5670579999999998,10.247576,0.0430562
64,0,mpi,8,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.42802,11.204786,0.043651
64,0,mpi,16,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.5092100000000004,0.128243,0.044907
64,0,mpi,16,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.387,10.60206,0.052736000000000005
64,0,mpi,16,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.242686,11.1683,0.0553752
64,0,mpi,16,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.805908,11.583516,0.0576178
64,0,mpi,32,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,4.591422,0.13331359999999998,0.0524822
64,0,mpi,32,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,4.4075940000000005,11.225468000000001,0.0961832
64,0,mpi,32,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.331452,12.413120000000001,1.8438658
64,0,mpi,32,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.632678,10.27386,1.8075088000000001
64,0,omp,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,11.519499999999999,0.328137,0.0739402
64,0,omp,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,6.163102,0.1862614,0.0454982
64,0,omp,4,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.484436,0.15013179999999998,0.049563
64,0,omp,8,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.4517680000000004,0.1176284,0.0475396
64,0,omp,16,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.271154,0.1013326,0.0514026
64,0,omp,32,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.6947859999999997,0.14208099999999999,0.0660566
64,0,seq,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,11.12514,0.2796058,0.0626102
128,0,ff,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,22.81358,1.32607,0.6085849999999999
128,0,ff,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,13.12936,1.0690979999999999,0.6224202
128,0,ff,4,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,7.242322,1.2005759999999999,0.9613200000000001
128,0,ff,8,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,4.803038,2.221134,2.317772
128,0,ff,16,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,4.83067,4.603646,4.201238
128,0,ff,32,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,6.108777999999999,8.963258,8.707772
128,0,mpi,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,22.805600000000002,0.353001,0.0630112
128,0,mpi,1,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,11.36194,11.03022,0.046144399999999995
128,0,mpi,1,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.8420760000000005,11.32462,0.0375212
128,0,mpi,1,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.964824,11.507608000000001,0.022820600000000003
128,0,mpi,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,11.91106,0.240779,0.040609
128,0,mpi,2,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.9906939999999995,10.780899999999999,0.039344000000000004
128,0,mpi,2,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.120766,10.426308,0.0415516
128,0,mpi,2,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.687268,11.5607,0.0242442
