estimators,max_depth,backend,threads,nodes,dataset,accuracy,f1,train_time,predict_time
256,0,omp,4,1,iris,0.966667,0.967963,7.675056,0.0909272
256,0,omp,8,1,iris,0.966667,0.967963,4.687900000000001,0.0738624
256,0,omp,16,1,iris,0.966667,0.967963,3.464678,0.1057304
256,0,omp,32,1,iris,0.966667,0.967963,4.977708,0.131529
256,0,seq,1,1,iris,0.966667,0.967963,26.604180000000003,0.1271322
8,0,seq,1,1,breast_cancer,0.955752,0.947845,36.21954,0.0354964
8,0,seq,1,1,magic,0.866456,0.846951,1665.432,3.242846
8,0,seq,1,1,susy_20000,0.77225,0.770421,3207.416,3.715552
16,0,ff,2,1,breast_cancer,0.955752,0.94866,40.68094,0.620163
16,0,ff,4,1,breast_cancer,0.955752,0.94866,23.44382,1.1227794
16,0,ff,8,1,breast_cancer,0.955752,0.94866,12.24576,2.077874
16,0,ff,16,1,breast_cancer,0.955752,0.94866,7.825068,4.3928020000000005
16,0,ff,32,1,breast_cancer,0.955752,0.94866,8.597114,9.845458
16,0,omp,2,1,breast_cancer,0.955752,0.94866,37.5097,0.049649
16,0,omp,2,1,magic,0.8703999999999998,0.8520710000000001,1727.2220000000002,3.5167
16,0,omp,2,1,susy_20000,0.78625,0.785293,3390.96,4.166838
16,0,omp,4,1,breast_cancer,0.955752,0.94866,20.1977,0.0398854
16,0,omp,4,1,magic,0.8704,0.852071,882.0925,1.9504825
16,0,omp,4,1,susy_20000,0.78625,0.785293,1729.1559999999995,2.71117
16,0,omp,8,1,breast_cancer,0.955752,0.94866,11.11412,0.0400176
16,0,omp,8,1,magic,0.8703999999999998,0.8520710000000001,459.3626,1.225194
16,0,omp,8,1,susy_20000,0.78625,0.785293,902.1724,1.36649
16,0,omp,16,1,breast_cancer,0.955752,0.94866,6.832844,0.0469248
16,0,omp,16,1,magic,0.8703999999999998,0.8520710000000001,242.3568,0.8254478000000001
16,0,omp,16,1,susy_20000,0.78625,0.785293,483.64,0.9409552
16,0,omp,32,1,breast_cancer,0.955752,0.94866,8.18655,0.0812522
16,0,omp,32,1,magic,0.8703999999999998,0.8520710000000001,240.6706,1.119828
16,0,omp,32,1,susy_20000,0.78625,0.785293,462.4106,1.210094
16,0,seq,1,1,breast_cancer,0.955752,0.94866,70.57246,0.0591354
16,0,seq,1,1,magic,0.8703999999999998,0.8520710000000001,3303.806,6.19233
16,0,seq,1,1,susy_20000,0.78625,0.785293,6425.962,7.173964000000001
32,0,ff,2,1,breast_cancer,0.964602,0.958608,78.40904,0.628348
32,0,ff,4,1,breast_cancer,0.964602,0.958608,45.0283,0.9809766
32,0,ff,8,1,breast_cancer,0.964602,0.958608,29.2205,1.944612
32,0,ff,16,1,breast_cancer,0.964602,0.958608,14.33646,4.472676
32,0,ff,32,1,breast_cancer,0.964602,0.958608,11.9355,10.5445
32,0,mpi,8,2,breast_cancer,0.955752,0.94866,11.28304,10.9554
32,0,mpi,8,4,breast_cancer,0.955752,0.947845,6.114912,11.65606
32,0,mpi,8,6,breast_cancer,0.955752,0.94866,5.90411,30.5133
32,0,mpi,8,8,breast_cancer,0.938053,0.928124,6.127908,12.3837
32,0,mpi,16,2,breast_cancer,0.955752,0.94866,7.210308,10.7865
32,0,mpi,16,4,breast_cancer,0.955752,0.947845,6.660908000000001,11.47858
32,0,mpi,16,6,breast_cancer,0.955752,0.94866,6.462511999999999,28.4278
32,0,mpi,16,8,breast_cancer,0.938053,0.928124,6.559456,12.21898
32,0,mpi,32,2,breast_cancer,0.955752,0.94866,8.605486,11.43224
32,0,mpi,32,4,breast_cancer,0.955752,0.947845,8.02041,14.74434
32,0,mpi,32,6,breast_cancer,0.955752,0.94866,7.833423999999999,32.58164
32,0,mpi,32,8,breast_cancer,0.938053,0.928124,7.804446,14.29434
32,0,omp,2,1,breast_cancer,0.964602,0.958608,75.22064,0.077844
32,0,omp,2,1,magic,0.87592,0.858581,3499.12,6.656818
32,0,omp,2,1,susy_20000,0.79375,0.792961,6743.166,7.74554
32,0,omp,4,1,breast_cancer,0.964602,0.958608,38.92792,0.108609
32,0,omp,4,1,magic,0.87592,0.858581,1790.386,3.966812
32,0,omp,4,1,susy_20000,0.79375,0.792961,3396.5980000000004,4.595048
32,0,omp,8,1,breast_cancer,0.964602,0.958608,21.66954,0.0796092
32,0,omp,8,1,magic,0.87592,0.858581,929.017,2.067192
32,0,omp,8,1,susy_20000,0.79375,0.792961,1788.9599999999998,2.93136
32,0,omp,16,1,breast_cancer,0.964602,0.958608,13.12216,0.0642784
32,0,omp,16,1,magic,0.87592,0.858581,474.1952,1.242876
32,0,omp,16,1,susy_20000,0.79375,0.792961,913.2225999999998,1.394572
32,0,omp,32,1,breast_cancer,0.964602,0.958608,10.51878,0.0673264
32,0,omp,32,1,magic,0.87592,0.858581,347.4154,1.232364
32,0,omp,32,1,susy_20000,0.79375,0.792961,662.241,1.31875
32,0,seq,1,1,breast_cancer,0.964602,0.958608,140.4332,0.1015436
32,0,seq,1,1,magic,0.87592,0.858581,6670.503999999999,12.10952
32,0,seq,1,1,susy_20000,0.79375,0.792961,12871.22,14.03784
64,0,ff,2,1,breast_cancer,0.964602,0.958608,151.2092,0.6994542
64,0,ff,4,1,breast_cancer,0.964602,0.958608,85.95812000000001,0.9735294
64,0,ff,8,1,breast_cancer,0.964602,0.958608,65.02842000000001,2.162414
64,0,ff,16,1,breast_cancer,0.964602,0.958608,41.09832,4.8021840000000005
64,0,ff,32,1,breast_cancer,0.964602,0.958608,20.694740000000003,10.322404
64,0,mpi,8,2,breast_cancer,0.964602,0.958608,22.14074,10.79608
64,0,mpi,8,4,breast_cancer,0.955752,0.94866,11.49222,11.52082
64,0,mpi,8,6,breast_cancer,0.946903,0.936895,11.091,26.797720000000005
64,0,mpi,8,8,breast_cancer,0.955752,0.947845,6.193084000000001,12.57996
64,0,mpi,16,2,breast_cancer,0.964602,0.958608,13.461520000000002,11.12536
64,0,mpi,16,4,breast_cancer,0.955752,0.94866,7.619190000000001,11.70108
