estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
256,0,ff,32,1,iris,1,1,0.966667,0.967963,9.91132,4.25667,3.18563
64,0,seq,1,1,iris,1,1,0.966667,0.967963,6.54882,0.176635,0.047122
64,0,omp,4,1,iris,1,1,0.966667,0.967963,2.11231,0.080396,0.022257
256,0,ff,2,1,iris,1,1,0.966667,0.967963,14.6221,1.23883,0.620846
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.20202,0.050314,0.016034
256,0,omp,8,1,iris,1,1,0.966667,0.967963,7.95776,0.631087,0.1545
64,0,ff,4,1,iris,1,1,0.966667,0.967963,6.69102,0.76157,1.3829
256,0,ff,32,1,iris,1,1,0.966667,0.967963,10.7988,3.81337,3.73498
256,0,ff,32,1,iris,1,1,0.966667,0.967963,9.6392,3.59904,3.91539
128,0,omp,16,1,iris,1,1,0.966667,0.967963,4.86918,0.509628,0.317828
256,0,omp,16,1,iris,1,1,0.966667,0.967963,8.5712,0.79608,0.383264
64,0,mpi,16,1,iris,1,1,0.966667,0.967963,3.04234,0.456068,0.387019
64,0,omp,32,1,iris,1,1,0.966667,0.967963,3.3761,1.13021,0.544417
32,0,mpi,1,1,iris,1,1,0.966667,0.967963,3.4344,0.077439,0.015439
32,0,mpi,1,1,iris,1,1,0.966667,0.967963,3.45326,0.076741,0.016103
32,0,mpi,2,1,iris,1,1,0.966667,0.967963,1.90391,0.065501,0.014435
32,0,mpi,4,1,iris,1,1,0.966667,0.967963,1.15944,0.053178,0.013132
32,0,ff,1,1,iris,1,1,0.966667,0.967963,3.74656,0.549485,0.352369
256,0,seq,1,1,iris,1,1,0.966667,0.967963,25.754,0.569929,0.127952
32,0,omp,2,1,iris,1,1,0.966667,0.967963,1.81089,0.072819,0.020207
128,0,seq,1,1,iris,1,1,0.966667,0.967963,12.7486,0.35173,0.067336
32,0,omp,1,1,iris,1,1,0.966667,0.967963,3.15544,0.112872,0.026271
128,0,ff,32,1,iris,1,1,0.966667,0.967963,5.66625,4.21828,2.96737
64,0,ff,16,1,iris,1,1,0.966667,0.967963,4.1335,2.19896,1.74996
32,0,mpi,1,2,iris,1,1,0.966667,0.967963,1.84187,11.5482,0.021307
64,0,ff,4,1,iris,1,1,0.966667,0.967963,3.5242,0.801133,0.645268
32,0,mpi,1,2,iris,1,1,0.966667,0.967963,1.67535,7.57382,0.01797
128,0,seq,1,1,iris,1,1,0.966667,0.967963,12.727,0.320949,0.067405
64,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.91649,7.99205,0.030518
64,0,mpi,16,2,iris,1,1,0.966667,0.967963,2.09226,11.6594,0.524305
64,0,seq,1,1,iris,1,1,0.966667,0.967963,6.55028,0.181273,0.039829
64,0,mpi,4,1,iris,1,1,0.966667,0.967963,2.03205,0.075018,0.016104
128,0,ff,8,1,iris,1,1,0.966667,0.967963,5.49723,1.18415,0.964412
32,0,omp,1,1,iris,1,1,0.966667,0.967963,3.18511,0.116277,0.026362
32,0,ff,1,1,iris,1,1,0.966667,0.967963,3.72641,0.566376,0.362472
128,0,ff,4,1,iris,1,1,0.966667,0.967963,4.60165,0.973514,0.760887
32,0,ff,2,1,iris,1,1,0.966667,0.967963,2.15867,0.580327,0.433101
128,0,ff,8,1,iris,1,1,0.966667,0.967963,4.84593,1.29336,0.999382
64,0,mpi,4,2,iris,1,1,0.966667,0.967963,1.21475,11.7414,0.021765
128,0,ff,32,1,iris,1,1,0.966667,0.967963,6.63149,3.85684,3.05879
256,0,ff,2,1,iris,1,1,0.966667,0.967963,14.5505,0.922486,0.491219
64,0,seq,1,1,iris,1,1,0.966667,0.967963,6.52125,0.17829,0.03993
32,0,mpi,2,1,iris,1,1,0.966667,0.967963,1.92963,0.064644,0.014047
64,0,omp,32,1,iris,1,1,0.966667,0.967963,5.01436,0.755602,0.694976
64,0,mpi,8,1,iris,1,1,0.966667,0.967963,3.31253,0.512166,0.273381
32,0,ff,4,1,iris,1,1,0.966667,0.967963,2.17281,0.684118,0.721907
128,0,ff,16,1,iris,1,1,0.966667,0.967963,5.36136,2.55466,1.77347
32,0,ff,2,1,iris,1,1,0.966667,0.967963,2.13887,0.5946,0.36827
64,0,omp,4,1,iris,1,1,0.966667,0.967963,2.10175,0.082335,0.021865
32,0,omp,1,1,iris,1,1,0.966667,0.967963,3.15688,0.110347,0.025869
64,0,ff,1,1,iris,1,1,0.966667,0.967963,7.09395,0.605222,0.472582
32,0,ff,8,1,iris,1,1,0.966667,0.967963,3.10454,1.13357,1.26954
64,0,mpi,32,2,iris,1,1,0.966667,0.967963,3.91494,12.3783,0.970007
32,0,omp,32,1,iris,1,1,0.966667,0.967963,2.62026,0.901228,0.565542
256,0,omp,4,1,iris,1,1,0.966667,0.967963,7.33258,0.232107,0.053059
32,0,omp,2,1,iris,1,1,0.966667,0.967963,1.82741,0.072356,0.019794
64,0,ff,16,1,iris,1,1,0.966667,0.967963,3.18138,2.37389,1.78114
64,0,omp,32,1,iris,1,1,0.966667,0.967963,3.19201,1.13824,0.77164
256,0,ff,4,1,iris,1,1,0.966667,0.967963,7.80954,0.958093,0.828091
256,0,omp,8,1,iris,1,1,0.966667,0.967963,7.71055,0.496571,0.121383
32,0,mpi,8,1,iris,1,1,0.966667,0.967963,2.54061,0.374426,0.295696
128,0,ff,32,1,iris,1,1,0.966667,0.967963,5.9062,4.43088,3.56378
32,0,omp,16,1,iris,1,1,0.966667,0.967963,2.20117,0.269611,0.384185
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.59387,0.256742,0.06904
32,0,mpi,2,1,iris,1,1,0.966667,0.967963,1.86149,0.066844,0.014565
128,0,ff,8,1,iris,1,1,0.966667,0.967963,4.47072,1.3492,1.13807
128,0,omp,2,1,iris,1,1,0.966667,0.967963,6.87776,0.21355,0.048474
64,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.8646,7.84574,0.018371
64,0,mpi,32,1,iris,1,1,0.966667,0.967963,3.71071,1.26634,0.955302
64,0,mpi,4,2,iris,1,1,0.966667,0.967963,1.19938,12.0057,0.019028
64,0,mpi,4,2,iris,1,1,0.966667,0.967963,1.17739,8.20788,0.028804
128,0,ff,16,1,iris,1,1,0.966667,0.967963,5.53628,2.0513,1.98452
32,0,ff,1,1,iris,1,1,0.966667,0.967963,3.76812,0.541993,0.415984
64,0,mpi,1,1,iris,1,1,0.966667,0.967963,6.72568,0.147995,0.039209
64,0,omp,16,1,iris,1,1,0.966667,0.967963,2.71708,0.494026,0.261414
64,0,ff,2,1,iris,1,1,0.966667,0.967963,3.92814,0.795365,0.490164
64,0,mpi,8,1,iris,1,1,0.966667,0.967963,3.96434,0.590041,0.241385
64,0,mpi,32,1,iris,1,1,0.966667,0.967963,4.36039,1.29674,0.964335
256,0,ff,32,1,iris,1,1,0.966667,0.967963,9.87689,4.15738,3.4194
64,0,mpi,2,1,iris,1,1,0.966667,0.967963,3.65451,0.101299,0.020445
256,0,omp,2,1,iris,1,1,0.966667,0.967963,13.4832,0.449205,0.083902
32,0,mpi,4,1,iris,1,1,0.966667,0.967963,1.20607,0.052994,0.012603
64,0,omp,2,1,iris,1,1,0.966667,0.967963,3.58714,0.133803,0.058335
128,0,omp,4,1,iris,1,1,0.966667,0.967963,3.82375,0.136322,0.034789
32,0,ff,4,1,iris,1,1,0.966667,0.967963,2.40292,0.711025,0.605494
64,0,omp,1,1,iris,1,1,0.966667,0.967963,6.61806,0.207945,0.052459
32,0,ff,8,1,iris,1,1,0.966667,0.967963,7.00332,1.17898,1.01168
64,0,omp,4,1,iris,1,1,0.966667,0.967963,2.10332,0.079173,0.021009
32,0,ff,4,1,iris,1,1,0.966667,0.967963,1.47098,0.698812,0.657022
64,0,omp,16,1,iris,1,1,0.966667,0.967963,3.14014,0.364632,0.491432
64,0,mpi,4,1,iris,1,1,0.966667,0.967963,2.04435,0.076579,0.014625
256,0,omp,16,1,iris,1,1,0.966667,0.967963,8.32713,0.545343,0.284966
128,0,omp,32,1,iris,1,1,0.966667,0.967963,5.76502,1.29033,0.803941
128,0,omp,8,1,iris,1,1,0.966667,0.967963,4.35215,0.485881,0.162565
256,0,omp,2,1,iris,1,1,0.966667,0.967963,13.5459,0.431415,0.083301
128,0,ff,4,1,iris,1,1,0.966667,0.967963,4.17643,0.848408,0.70189
256,0,omp,4,1,iris,1,1,0.966667,0.967963,7.35512,0.226157,0.055237
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.66993,0.221642,0.102049
64,0,mpi,2,1,iris,1,1,0.966667,0.967963,3.653,0.095021,0.019337
256,0,omp,16,1,iris,1,1,0.966667,0.967963,8.44165,0.745071,0.440593
256,0,omp,1,1,iris,1,1,0.966667,0.967963,25.948,0.662511,0.169112
128,0,omp,1,1,iris,1,1,0.966667,0.967963,13.1006,0.363265,0.073026
32,0,mpi,16,1,iris,1,1,0.966667,0.967963,2.29599,0.586241,0.394189
32,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.07995,8.71486,0.014302
64,0,ff,8,1,iris,1,1,0.966667,0.967963,3.3789,1.39405,1.17119
32,0,omp,1,1,iris,1,1,0.966667,0.967963,3.18835,0.112203,0.026328
64,0,mpi,32,2,iris,1,1,0.966667,0.967963,4.35798,6.02711,1.45242
64,0,ff,1,1,iris,1,1,0.966667,0.967963,6.94809,0.735075,0.451545
128,0,omp,2,1,iris,1,1,0.966667,0.967963,6.78212,0.216008,0.047994
256,0,ff,16,1,iris,1,1,0.966667,0.967963,9.4868,2.08342,1.98134
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.58838,0.218333,0.272661
256,0,ff,1,1,iris,1,1,0.966667,0.967963,27.4632,1.28347,0.547263
128,0,omp,32,1,iris,1,1,0.966667,0.967963,7.2862,1.09878,0.904712
64,0,mpi,16,2,iris,1,1,0.966667,0.967963,2.13212,12.2522,0.713508
128,0,omp,16,1,iris,1,1,0.966667,0.967963,5.0171,0.488101,0.317575
64,0,mpi,8,2,iris,1,1,0.966667,0.967963,1.57856,8.80551,0.411472
32,0,mpi,8,2,iris,1,1,0.966667,0.967963,1.31956,11.6785,0.399583
32,0,seq,1,1,iris,1,1,0.966667,0.967963,3.72411,0.10973,0.022412
